mwe;label;sentence;par
через голову;I;"высшего руководителя СС и полиции» ( ) при  ""Группа армий «»""группе армий «Ц» в Северной Италии, имел в этом качестве очень широкие полномочия, подчинялся лично Гиммлеру и пользовался большим доверием нацистской верхушки. Вольфу благоволил Гитлер. Вольф даже позволял себе иногда обращаться к фюреру через голову Гиммлера. Один из таких случаев вызвал размолвку между Вольфом и Гиммлером в  ""1943 год""1943 году, когда Гитлер разрешил Вольфу  ""Развод""развестись, вопреки запрету Гиммлера. Именно после этого Вольф, до того начальник  ""Личный штаб рейхсфюрера СС""личного штаба рейхсфюрера, и получил на";3
через голову;I;"В документальном фильме «Сожжённые крылья. Предать конструктора» высказывается мысль, что у талантливого конструктора было много недоброжелателей, среди которых — министр судостроительной промышленности СССР  ""Бутома, Борис Евстафьевич""Б. Е. Бутома (по фильму причина гонений на изобретателя в том, что Алексеев обратился к  ""Хрущев, Никита Сергеевич""Хрущеву через голову вышестоящего начальства).
В  ""1976 год""1976 году, после аварии при испытании экранолета, Алексеев приказом Бутомы был отстранён от всех должностей, ему был оставлен в подчинении только отдел из 15 человек.
Награды";3
через голову;I;"Будучи близким другом и соратником  ""Линкольн, Авраам""Авраама Линкольна, Макклернанд получил разрешение набрать армию для операций против Виксберга через голову Гранта, своего непосредственного командира. Грант сумел нейтрализовать самодеятельность Макклернанда, поручив ему экспедицию, которая привела к  ""Битва за форт Хиндман""сражению за форт Хиндман. В результате Макклернанд стал корпусным командиром в армии Гранта. Грант оказался неудовлетворен действиями Макклернанда во время  ""Виксбергская кампания""виксбергской кампании и после первых штурмов Виксберга отстранил его от командование за нес";2
через голову;I;"ов выступал как частное лицо при активнейшем противодействии Министерства иностранных дел России, занимавшего прогерманскую позицию. Катков использовал и свои возможности как журналиста, и связи в правительственных кругах, и личное знакомство с  ""Александр ""Александром , при этом неизменно действуя через голову министра иностранных дел  ""Гирс, Николай Карлович""Н. К. Гирса. Катков при большом личном влиянии в России не имел собственно французских связей. Цион превратился в его политического агента во Франции, обеспечивая Каткову необходимые контакты в политических и журналистских кругах, а такж";2
через голову;I;Роль наднациональных структур Евросоюза в описанных процессах противоречива: на выравнивание и сближение уровней экономического развития регионов выделяются ощутимые средства соответствующих фондов ЕС, однако выясняется, что в условиях кризиса такое избирательное спонсирование через голову национальных правительств не цементирует, а разваливает крупные государства-члены. Комментаторы указывают, что у Брюсселя в этом имеется свой интерес: ему невыгодны сильные, имеющие вес и способность контролировать еврочиновников страны с мелкими же проще договариваться:;2
через голову;I;"части барраярского офицерства, стали причиной т. н. Солстисского Избиения, когда на стадионе города Солстиса были расстреляны 200 Советников Комарры, несмотря на полученные ими гарантии. Общественное мнение обвинило в преступлении командующего Форкосигана, в результате чего он получил прозвище Мясник Комарры. Форкосиган утверждал, что приказ о расстреле отдал политофицер без его ведома. Существует также мнение, что приказ мог быть отдан  ""Эзар Форбарра""императором Эзаром через голову Форкосигана.  Так как политофицер был казнён лично Форкосиганом, ни одна версия никаких доказательств не имеет.";2
через голову;I;"Другие переклички с футуристами через голову можно найти у близкого к Эрлю в те годы  ""Хвостенко, Алексей Львович""Алексея Хвостенко.
С конца 1960-х гг. активно работали с заумью  ""Никонова, Ры""Ры Никонова и  ""Сигей, Сергей Всеволодович""Сергей Сигей:
";3
через голову;I;Глава польского правительства генерал Сикорский, более лояльно настроенный к союзнику и стремившийся иметь польские войска на всех фронтах, противился этим планам но Андерс через голову Сикорского, с помощью Черчилля, сумел добиться их осуществления. Официально (перед Сталиным) выдвигались утверждения, что поляков следует перевести в Иран из-за более тёплого климата и лучших возможностей для снабжения (англичанами) Андерс утверждал, что после того, как армия будет сформирована и обучена, она вернется в СССР — Сталин этому, разумеется, не верил.;2
через голову;I;"Утверждалось об имевшихся у него налаженных в своё время самостоятельных (через голову  ""Хаттаб""Хаттаба) контактов с  ""бен Ладен""Усамой бен Ладеном.";2
через голову;I;"а Дубровина. В показаниях подследственных Юскевич-Красовский выступил лишь как координатор акции, причастный к убийству в той же степени, что и другие, лично не стрелявшие в Герценштейна (суд и определил всем им равную меру ответственности, по 6 лет тюрьмы). Рассказав же суду о своём обращении, уже через голову Юскевича, лично к Дубровину, Ларичкин тем самым дал на него косвенные показания как на верховного организатора преступления, находящегося в курсе всех дел, включая распоряжение денежными средствами.
Глава СРН Дубровин на слушание дела не явился, «укрывшись от финляндского суда на курорт";3
через голову;I;"Когда же Виктор-Эммануил продолжил колебаться, О. Бисмарк весьма недвусмысленно пригрозил, что через голову прусского короля обратится непосредственно к народу и призовёт на помощь итальянских революционеров —  ""Маццини, Джузеппе""Маццини и  ""Гарибальди, Джузеппе""Гарибальди. Тогда Виктор Эммануил решился и дал О. Бисмарку нужные обещания. В результате, Пруссия, всё-таки добилась при посредничестве императора  ""Вторая империя""Франции  ""Наполеон ""Наполеона  заключения  ""8 апреля""8 апреля 1866 года прусско-итальянского союза (с трёхмесячным сроком действия) с обязательством не заключать сепаратног";2
через голову;I;" ""33-я армия (СССР)""33-я армия ( ""Ефремов, Михаил Григорьевич""Ефремов, Михаил Григорьевич). В апреле 1942 г. генерал Ефремов, видя истощение своих сил, обратился напрямую (через голову командования Западного фронта) в Ставку ВГК с просьбой разрешить ему выходить на восток по кратчайшему пути — через  ""Угра (река)""р. Угру. Однако большинству ефремовцев пробиться на «большую землю» так и не удалось. Германские подвижные части смогли перехватить колонну советских войск на дороге  ""Буслава""Буслава- ""Беляево""Беляево, а затем добить остатки группы Ефремова в районе деревень  ""Жары (Смоленская област";2
через голову;I;я в Политбюро с просьбой об утверждении дополнительных капиталовложений для двух предприятий химической промышленности. Сталин поставил на письме резолюцию: «т. Чубарю. Кем составлена эта записка? Кто проверял цифры? Трудно голосовать за предложение т. Молотова». Подобное обращение Сталина к Чубарю через голову Молотова (который, судя по протоколам Политбюро, находился в это время в Москве) представляло собой демонстративное нарушение существующей субординации, выпад против Молотова, а, возможно, и попытку внести дополнительное напряжение во взаимоотношения Чубаря и Молотова. Чубарь, хотя и яв;2
через голову;I;Также нельзя разговаривать через голову старшего, это выглядит очень невежливо. Считается дурным тоном проходить мимо сидящего старшего по возрасту человека, не пригнувшись и не извинившись, поскольку в этом случае голова старшего будет находиться на уровне корпуса проходящего.;2
через голову;I;"Первый массовый отъезд из Галлиполи был спровоцирован французами, через голову русского командования предложившими желающим выехать на работу в славянские страны и предоставившими для этого пароходы. В мае 1921 года уехало около трех тысяч человек.

Русское командование, вынуждаемое французами и подгоняемое угрозой второй раз зимовать в Галлиполи, ускорило переезд всех оставшихся в  ""Сербия""Сербию и  ""Болгария""Болгарию, согласившихся принять части корпуса. В августе 1921 года уехали кавалеристы и первый эшелон пехоты. Отъезд продолжился в ноябре: в  ""Болгария""Болгарию уехали остатки штаба пехо";3
через голову;I;"24 июня 1941 года награжден Рыцарским крестом Железного креста, причем приказ подписывал  ""Редер, Эрих""Эрих Редер, действуя через голову Дёница, не торопившегося награждать зятя.";2
через голову;I;"аствует всемирный пролетариат! Да здраствует единение всех народов, без различия национальностей!. Провозглашение Азербайджанской ССР приветствовали и в Армении. Так трудящиеся Александрополя (ныне  ""Гюмри""Гюмри) писали Азревкому: «В этот торжественный день, мы рабочие, крестьяне и солдаты Армении, через голову контрреволюционного изменнического правительства армянских мусаватистов (имеется в виду  ""Дашнакцутюн""дашнаки — прим.) протягиваем вам, революционным рабочим, крестьянам и аскерам, свою братскую руку и даём торжественное обещание расправиться с правительством гнёта и насилия, правительс";2
через голову;I;солдат. 2-й португальский разведывательный эскадрон  (?  ) расположенный близ Маулингема запросил разрешения вступить в бой с индийцами, но в 13.45 был получен отрицательный ответ. В полдень 17-го португальское командование выпустило инструкции, что все приказы к обороняющимся войскам должны исходить непосредственно из штабов, через голову местных командных постов. Это привело к замешательству в цепи командования. В 02.00 18 декабря 2-й эскадрон был отправлен в город Доромагого чтобы поддержать отступление полицейских сил находящихся в области, на обратном пути эскадрон был атакован индийцами.;2
через голову;I;принятие на вооружение новых минометных средств. Он обязан был лично докладывать, если не Сталину, то наркому Тимошенко. Но он недооценил это новое оружие. Тогда Аборенков, совершенно убежденный в эффективности реактивных снарядов по опыту использования в авиации, через голову своего начальника маршала Кулика сообщил об этой разработке в докладной записке Сталину. Аборенков рисковал если не головой, то карьерой. Надо отдать должное его смелости.;2
через голову;I;"спруденция)""доказательств могут потребовать проведения внеплановой ревизии по находящемуся в производстве  ""Уголовное дело""уголовному делу. В государственных учреждениях такая внеплановая ревизия, как правило, проводится контрольно-ревизионными органами вышестоящих организаций (при необходимости — «через голову»). В этом случае следователь выносит постановление о назначении документальной ревизии, которое направляется соответствующему  ""Должностное лицо""должностному лицу, полномочному назначить ревизию. В  ""Предпринимательство""коммерческих организациях ревизии в рамках  ""Следствие""следствия по";2
через голову;L;Столыпин остался невредим и даже не получил ни единой царапины. Лишь бронзовая чернильница, перелетев через голову премьера, забрызгала его чернилами.;2
через голову;L;"Луг вёл свой народ во время  ""Битва при Маг Туиред""битвы при Маг Туиред. В какой-то момент на поле боя появился один из королей фоморов, дед Луга, Балор. Его единственный глаз обладал чудовищной силой, способной убивать силой взгляда. «Когда же подняли веко Балора, метнул Луг камень из своей пращи и вышиб глаз через голову наружу, так что воинство самого Балора узрело его. Пал этот глаз на фоморов и трижды девять из них полегли рядом…»
Арфа Дагды
Луг и  ""Огма""Огма сопровождали Дагду в лагерь фоморов, чтобы вернуть похищенную во время битвы арфу Дагды.
";3
через голову;L;"В кино Тер-Осипян снималась совсем немного: сыграла роль Ашуры в фильме «Горянка», тетю Пашу в «Женщине издалека», тетю Ашхен во «Взрослом сыне», бабушку в ленте  ""Бабушкин внук""«Бабушкин внук». Были эпизоды в картинах « ""Синегория""Синегория», «Сицилианская защита»,  ""Ищите женщину (фильм, 1982)""«Ищите женщину»,  ""Кувырок через голову (фильм)""«Кувырок через голову»,  ""Не сошлись характерами (фильм)""«Не сошлись характерами».";2
через голову;L;ылана. Коротконосые крыланы подлетали к потолку с расправленными крыльями. Как только происходило соприкосновение с потолком, конечности вытягивались, и животные хватались за решётку большими пальцами передних конечностей одновременно с пальцами задних конечностей. Затем они совершали кувырок назад через голову и повисали вниз головой. При таком приземлении мышь испытывает четырёхкратные перегрузки. Иногда при таком приземлении рукокрылые даже ударялись головой о потолок. Летучие мыши, применяющие такую тактику, чаще приземляются на деревья, поскольку питаются растительной пищей. Эта среда сам;2
через голову;L;"Это полоса ткани длиной около 2 метров, к одному концу которой пришиты кольца. Застёгивают слинг, протянув второй конец ткани (регулировочную лямку) в кольца (сначала в оба, потом обратно в одно). Застёгнутый слинг надевают через голову на плечо. Получается «гнёздышко», в которое помещают  ""ребёнок""ребёнка. В таком слинге можно его носить с рождения и до тех пор, пока родитель может поднять и нести ребёнка, обычно прочность рассчитана на ребёнка весом до 20 кг в возрасте до трёх лет. Ребёнок может лежать или сидеть в разных положениях. Внутренний объём колыбели слинга изменяется, для этого над";3
через голову;L;"В  ""1881 год""1881 году  ""Русс, Карл""Карл Русс даёт подробное описание дикой формы волнистого попугайчика, отдельно описывая самку и самца. При этом Русс указывает длину попугайчика — 21 — 26 см, но этот размер получен путём не общепринятых измерений попугайчика (голова — кончик хвоста), а замером от кончика клюва через голову и спину до конца хвоста.";2
через голову;L;"Анора?к ( ) — легкая ветрозащитная  ""куртка""куртка из плотной ткани с капюшоном, надеваемая через голову и не имеющая обычного разреза с застёжкой спереди. Анорак является важнейшей частью  ""альпинист""альпинистского и  ""Туристское снаряжение""туристского снаряжения. Отличительной чертой анорака, в сравнении с различными другими видами ветровок и штормовок, является наличие большого грудного кармана-кенгуру и отсутствие карманов боковых, которые при ношении  ""рюкзак""рюкзака невозможно использовать, так как они перекрыты поясом. Рукава анорака имеют манжеты с резинкой, для того чтобы внутрь рукав";2
через голову;L;"В дальнейшем соревнования были разбиты на три компонента — современные ставшие уже классическими дисциплины  ""Фристайл (лыжный спорт)""фристайла — лыжный балет, могул и лыжная акробатика. В это время были приняты правила запрещающие в могуле прыжки с переворотами через голову. Могул пользовался большой популярностью, привлекая толпы зрителей, большинство из которых приходило проникнуться атмосферой контеста и посмотреть на жуткие падения спортсменов. Некоторые люди полагали, что этот стиль катания на  ""лыжи""лыжах слишком опасен и не хотели включения  ""Фристайл (лыжный спорт)""фристайла в олимпий";2
через голову;L;Предоставление одежд оборванному: нищий, стоящий рядом с фигурой Милосердия (она может держать узел с пожитками), надевает через голову рубаху.;2
через голову;L;"Сальто (  — прыжок) — вращательное  ""Механическое движение""движение на 360° и более с места через голову на ноги. Бывает разных видов: в группировке (обычное сальто), углом, в полугруппировке (рваная группировка), согнувшись и прогнувшись (выпрямившись).";2
через голову;L;"Переднее сальто — переворот в воздухе через голову вперёд. Выполняется путём маха руками из-за головы с одновременным резким и сильным толчком ногами. Как варианты: переднее сальто в группировке, переднее сальто прогнувшись(выпрямившись,иногда называют бланшем вперёд), переднее сальто согнувшись(углом), двойноетройное переднее сальто, то есть переворот не на 360°, а на 720°1080°.
Простое переднее сальто (сальто вперёд) можно начинать тремя основными способами:
Сальто вперёд с верхним замахом — руки в момент наскока подняты над головой. Однако, сильного замаха руками сверху вниз быть не должно,";3
через голову;L;"Британии""чемпионата Британии против  ""Сборная Англии по футболу""сборной Англии, в котором забил, возможно, свой самый знаменитый гол в карьере. Вратарь англичан  ""Бэнкс, Гордон""Гордон Бэнкс подбросил мяч в воздух, намереваясь выбить его в поле, но Бест опередил голкипера, ударив по мячу первым. Мяч через голову Бэнкса полетел в направлении пустых ворот. Оба игрока побежали за ним, но и тут Бест оказался быстрее, добравшись до мяча первым и направив его головой в сетку. К сожалению для Беста, гол был отменён: судья зафиксировал фол со стороны нападающего, хотя эпизода он не видел, находясь в то";2
через голову;L;" ""Джемпер""Джемпер — вязаный предмет одежды, надеваемый через голову, без застёжек и воротника, с длинными рукавами.";2
через голову;L;Многие персонажи в    получили новые спецприёмы и добивания. Несколько персонажей получили приёмы, которые не были использованы в предыдущих играх. Эти спецприёмы включают: вращение лезвиями Кано (версия МК1), воздушная торпеда Кун Лао (версия МК2), крутящийся удар Горо, крутящиеся лезвия Бараки. В дополнение Шао Кан получил бросок и захват с ударом, а Мотаро получил бросок через голову.;2
через голову;L;преодолел 1 милю (1,6 км) за 19 минут 11 сек, совершая кувырки через голову;2
через голову;L;были атакованы резервом Халифы - воинами Якуба, которых было около 15000. Видя их энергичный натиск, Китченер быстро перестроил свои войска - армия развернулась фронтом к западу, так, что её левый фланг оказался в пустыне, а правый упёрся в реку - по словам Черчилля, как бы совершила полный кувырок через голову. В отражении яростного натиска воинов Якуба большую роль сыграли пулемёты. Свинец косил плотные ряды дервишей, фронт которых начал разваливаться под натиском англичан и египтян. Уцелевшие воины Якуба начали в беспорядке отходить к Омдурману, но сам он остался у чёрного знамени Халифы и ;2
через голову;L;"Сезар""Ари, сказал, что защитник обязан появлению в клубе только «большому знакомству» тогда Нилтон ушёл в свою комнату и начал собирать вещи, но его остановил Роша. В третьем матче Нилтон был признан лучшим игроком, более того, он, делая передачу другому крайнему защитнику, специально перекинул мяч через голову Ари, просившего мяч, так, что тот не смог до него дотянуться. Тогда же ему была выплачена первая заработная плата — 400 крузейро в месяц.  ""28 апреля""28 апреля Нилтон провёл первый официальный матч в карьере, в розыгрыше Торнео Минисипал его клуб обыграл со счётом 5:3 « ""Америка (футбол";3
