,mwe,label,sentence
46,blow_smoke,L,"Then we spent five minutes blowing cigar smoke at each other, until Stok said, ‘Lenin didn't smoke, hated flowers, never had a soft chair in his office, had only the simplest food, liked reading Turgenev and always had his watch fifteen minutes slow."
47,blow_smoke,L,She blew smoke at me.
48,blow_smoke,L,He blew smoke at me.
49,blow_smoke,L,She blew smoke in a pale blue stream through rounded lips.
50,blow_smoke,L,"She blew smoke out, coughed, and handed him the cigarette and he took it without a word."
51,blow_smoke,L,He blows cigarette smoke irritably across the room.
52,blow_smoke,L,"He had made a cigarette and now he lit it, looking at Braden as he blew the smoke up in the air."
53,blow_smoke,L,"Obviously not all shaman practices are applicable in the modern world, one procedure involved blowing tobacco smoke over a sick person because it was believed to have magical healing powers — I can't see that selling too well today!"
54,blow_smoke,L,Shelley blows smoke in her dog's face.
55,blow_top,I,"As well as being relaxing, it keeps your skin in good condition, and boosts your self-esteem."
56,blow_top,I,Not for nothing was he known as Windy — when upset he really did ‘blow his top’ but his bark was worse than his bite — he was an excellent teacher and took both Standards Six and Seven.
57,blow_top,I,"It was the first time in years that I had blown my top in such a way, and I vowed that it would never happen again, that I would save all my aggression for the track."
58,blow_top,I,"I remained out, standing with my ear to the door, for Carl detested any form of interruption."
59,blow_top,L,The mist would blow off the top of the
60,blow_top,L,He blew the top of his tea and sipped it.
61,blow_top,I,‘It has flattened everybody here — including the players.
62,blow_top,I,after leading FA cup finalists Sunderland to Wembley in May.
63,blow_top,I,"If anything, it has got worse."
64,blow_top,I,We knew Souness would want his own set of players and that he'd shift people in and out very quickly just as he had in Scotland.
65,blow_top,I,Two years later Raft blew his top at Peter Lorre during a scene in Background to Danger in which Lorre and Sydney Greenstreet tie Raft up.
66,blow_top,I,Sinatra blew his top and accused both Lawfords of covering up what he saw as a vendetta being waged by Bobby against him.
67,blow_top,I,I used to get so angry on the set that one day I just blew my top and hit John Huston.
68,blow_top,I,"I got a bit upset, but soon found a silver lining."
69,blow_top,I,Jenkinson blew his top after missing a penalty at Plymouth on Friday night.
70,blow_top,I,"Middlesbrough 2, Man City 0"
71,blow_top,I,CHRISTIE FURY
72,blow_top,I,DAVID MOORE
73,blow_top,L,It was this beautiful lady that blew her top in 1450 BC with four times the explosively destructive power of  Krakatoa.
74,blow_top,I,It was unusual for Hauser to blow his top.
75,blow_top,I,"If you blow your top, they'll nick you double quick.’"
76,blow_top,L,"More like a volcano erupting than a steam engine blowing its top, Nick always said, but he was touchy about it because it made him sick the first time."
77,blow_top,I,"Whereupon he blew his top and declared, ‘Well, I will not make the announcement, but I will never talk to you again!’"
78,blow_top,I,Whether the Ipswich directors who watched him blow his top with the unwitting journalist believe that is debatable.
79,blow_top,L,When she smiled that big smile with her slightly too big mouth and too many very white teeth it was as if the explosion was starting to blow the top of her head off.
80,blow_top,I,"Date: Thu, 21 Oct 93 12:55 GMT"
81,blow_top,I,"‘Sorry I blew my top, but I had visions of finding you down there on the rocks like the first time.’"
82,blow_top,I,Striker Slaven blew his top after being axed from the side which grabbed a draw at Bristol City in midweek.
83,blow_trumpet,I,But he has little hesitation in declaring that his successor as chairman of Esso has done a better job than he was able to achieve.
84,blow_trumpet,Q,"‘I'm not terribly good at blowing my own trumpet, though.’"
85,blow_trumpet,I,"There is nothing left either in womanpower or funds to devote to blowing our own trumpet, so we have been unable to impress you with the extent and importance of our work."
86,blow_trumpet,I,"When called upon to tell us of the exemplary conditions in his new factories at Bournville, Mr Cadbury — his looks belying his years and status — refused to blow his own trumpet and blushingly declined to speak."
87,blow_trumpet,Q,"If the trumpets of Britain had not been blown loud and long from St Mary's, a different myth would have grown giving all the credit to America."
88,blow_trumpet,L,"The referee blew a toy trumpet and Harry Payne gave the golf club a mighty hit with his bat, breaking the shaft in two."
89,blow_trumpet,Q,"I like it, I like it alright, but does it like me, that's the trouble!"
90,blow_trumpet,L,"He offended the king in some way and was summarily hanged, appearing since as a shaggy man, wearing a great set of stag's horns and blowing a trumpet."
91,blow_trumpet,I,BOOKS 37
92,blow_trumpet,L,‘But if the watchman sees the sword coming and does not blow the trumpet to warn the people…
93,blow_trumpet,I,For too long we Christians have heard the modern world blowing its own trumpet.
94,blow_trumpet,L,"Next morning, the trumpets were blown at the North Gate and the Knight Marischal's banner hoisted, with shouted demands for King Edward to appear."
95,blow_trumpet,I,"We think we're ace and so do you, it appears."
96,blow_trumpet,L,A band in gold-braided uniforms blew long brass trumpets.
97,blow_trumpet,I,"The unit, which does all of the firm's Unix porting work, will start to blow its own trumpet in the new year when the latest workflow automation techniques in its client/server and Unix software will be on parade."
98,blow_trumpet,I,"However, by the end of July, Pyramid will be blowing its own trumpet again, announcing the top-end systems which Olivetti has already shown — with a maximum 24 R3000 processors, two on each board — as the ES server line (UX No 386)."
99,blow_trumpet,Q,CJ doesn't need to blow his own trumpet!
100,blow_trumpet,I,"Blowing your own trumpet isn't a very British thing to do, so we'll have to blame it on our Germanic streak, but GTF really are incredibly efficient."
101,blow_trumpet,I,Merseyside cannot blow a national trumpet.
102,blow_trumpet,Q,"I hope by sharing the struggle and vision of the people in both ‘worlds’, that more people will be inspired to ‘blow the trumpet’ which will one day sound the tune for the march of humanity into progress."
103,blow_trumpet,L,"Then the White Rabbit blew his trumpet three times, and called out, ‘First witness!’"
104,blow_trumpet,I,"While we're promoting my own show and blowing my own trumpet, er this afternoon Jenny is on for my for me this afternoon."
105,blow_trumpet,I,We've often met people like that who blow their trumpet er pretending they were somebody  else  
106,blow_trumpet,Q,"Most were reluctant, defensive, or  simply hesitant to blow their own trumpet."
107,blow_trumpet,I,It's for this reason I've gone against my initial instinct not to blow our own trumpet on this at the risk of provoking more ‘bad loser’ comments from certain people (and let me stress I don't mean the runners-up) communicated to me.
108,blow_trumpet,Q,"‘Come on, she doesn't need you to blow her trumpet.’"
109,blow_trumpet,Q,"‘Oh, well,’ scornfully, ‘if it's just so you can blow your own trumpet…’"
110,blow_trumpet,I,"Well, I think you know, I'm a naturally optimistic sort of person, and I, I'm not er, sort of blowing my own trumpet here, I, I, I erm, look on life with a great deal of optimism, er touch wood, I've been fairly lucky in my life."
111,blow_trumpet,L,"Garland, in the Telegraph, had drawn a cartoon of a kilted bare-arsed Robertson, blowing his trumpet, circling a walled city full of obvious Tories, labelled ‘Jericho’."
112,blow_trumpet,I,"Once the vote on Europe had been taken (an  overwhelming majority in favour of the platform's motion), he had slipped out of the hall, pausing only to watch and listen while, at the bidding of the cameras, the national chairman of the YCs blew his trumpet for the umpteenth time."
113,blow_trumpet,Q,"The setting for Crawford's second Children's Film Foundation production, Blow Your Own Trumpet, was a Northern mining town and featured Peter Butterworth, well known for his appearances in children's television programmes."
114,blow_trumpet,L,"An angel hovered over their heads, blowing a yellow trumpet."
115,blow_trumpet,L,"The gold letters M O R S encircle the globe, and ultimate judgement is depicted in the heavens above where angels blow the last trumpet and Christ reigns in glory."
116,blow_trumpet,L,blowing a trumpet very loudly.
117,blow_trumpet,Q,"‘Captain Fantastic did very well,’ she agreed, her tone a little weary because the young man had not only spent every minute of the previous evening blowing his own trumpet, but much of their journey today, too."
118,blow_trumpet,Q,Pipe band blows its own trumpet
119,blow_trumpet,I,DOUG Blewitt must rank as a contender for the most unsung hero of North-East business.
120,blow_trumpet,I,"But even the Treasury was reluctant to blow a trumpet yesterday, because the upturn came entirely from a leap of 6.3 per cent in oil and gas output."
121,blow_trumpet,I,WENDY Picton can go one better than blowing her own trumpet.
122,blow_trumpet,I,"THOUGH not one to blow his own trumpet, 24-year-old Lee Rigg was delighted to be awarded one of the top brass band honours in Britain in December."
123,blow_whistle,I,"‘Are you going to blow the whistle on the whole lot — I mean, the university people as well?’"
124,blow_whistle,L,"occasionally one feels, as a teacher, rather like a soccer referee who, having blown his whistle for the kick-off, finds the players disconcertingly reluctant to make a move and is reduced to dribbling the ball himself furiously from end to end, scoring brilliant goals in undefended nets, while the motionless players look curiously on."
125,blow_whistle,I,"However, a shocked Danish bureaucrat blew the whistle on Mr Hocke as that ‘refugee education fund’ was only supposed to be for Mr Hartling and not any old non-Danish High Commissioner."
126,blow_whistle,L,"Someone blows a whistle, and this train starts rumbling, like it's getting ready to drive off."
127,blow_whistle,L,"Suddenly, he jumped high in the air, referee Steve Griffith signalled that the kick was good, blew his whistle for time and that was that."
128,blow_whistle,L,The referee was reported to have blown the final whistle outside his dressing-room door.
129,blow_whistle,L,"He blew a whistle and a group of men marched down the path with precision, and stood silently on the shoreline."
130,blow_whistle,L,Such whistles were blown only during war to offer the warrior supernatural protection.
131,blow_whistle,L,"Quick, blow your whistle!’"
132,blow_whistle,I,"There were even self-appointed morality patrols, recruited from the ranks of the born-again Christians, who would blow the whistle on indecency on the beach."
133,blow_whistle,I,"It was the phone-call that blew the whistle on one of Scottish football's biggest blow outs, a night of post-match revelry which will be warmly   remembered as ‘Five Go Mad In Denmark’."
134,blow_whistle,L,"Mowat goes mad, loses his cap."
135,blow_whistle,L,"It's no use blowing a whistle asking for help, if you know the policeman is a couple of miles away."
136,blow_whistle,L,I blew my whistle till I blew the pea out of it.
137,blow_whistle,I,It could spot border violations and blow the whistle on breaches of cease-fire agreements.
138,blow_whistle,L,"The person organizing the party can come dressed as a referee and, in games such as‘bus stop’[p.41]where instructions are given, blow a whistle to attract attention for the various instructions."
139,blow_whistle,L,This is a good game for tiring out those children with a great deal of energy.
140,blow_whistle,L,The umpire blew his whistle.
141,blow_whistle,L,"God were good, but hampered by the very technology that is supposed to help them get their message across."
142,blow_whistle,I,17 Phoney tapping
143,blow_whistle,I,"I have seen the secret contract of employment now being operated by one of the new health trusts, at Kingston Hospital."
144,blow_whistle,I,"Another example was Charles Robertson, chief accountant in charge of taxation at the Guardian Royal Exchange Assurance Company, who had reported some unusual transactions to the Inland Revenue for which the company had to pay £1.6 million in back taxes."
145,blow_whistle,L,The potential for a flare-up under the new law is obvious.
146,blow_whistle,I,"‘We're naturally very upset,’ she said at their converted barn home in Hawkhurst, Kent."
147,blow_whistle,I,"Geoffrey Turner, the SFA's director of membership and regulatory services, told ACCOUNTANCY : ‘Lord Justice Bingham in his BCCI report recommended that a statutory compulsion be placed on auditors of banks to blow the whistle to the regulator."
148,blow_whistle,L,"Suddenly, an officer blew a whistle and the vigilantees were overpowered, arrested and brought to the army base on Church Road."
149,blow_whistle,L,"The film in progress when I arrived showed a football match between a team of nuns and a team of soldiers, and every time the referee blew his whistle for a penalty (which was every few seconds) the player concerned had to lose a garment."
150,blow_whistle,L,"A few people were on the platform, the station staff busied themselves with mail bags and other items of luggage and parcels, at last the guard blew his whistle."
151,blow_whistle,L,"Mr Wishart hurried off to the refreshment room, luckily got served straight away and with difficulty got back to the compartment just as the guard was blowing his whistle; the old lady took one of the paper cups of tea and murmured her thanks."
152,blow_whistle,L,"The guard blew his whistle, Mr Wishart climbed back into the compartment and sat down."
153,blow_whistle,I,‘And someone in the Interior Ministry might blow the whistle on you?’
154,blow_whistle,L,One of mine was an impersonation of Winston Churchill saying Mary Had A Little Lamb.
155,blow_whistle,I,"With continual borrowing over two years, the bank had blown the whistle."
156,blow_whistle,I,After Lamb had blown the whistle on the Pakistanis Dexter seemed to want to wash his hands of anything Lamb was doing — suggesting that the Northants captain's forthright comments would not just end with a fine and a suspension from his County bosses.
157,blow_whistle,L,"‘David had a very good game at Leeds, apart from not applying the golden rule of playing until the ref blows his whistle."
158,blow_whistle,I,"In fact, it won't affect her pay-off from the Royal Family in any way."
159,blow_whistle,Q,The whistle was blown on Chelsea fan Mellor's game.
160,blow_whistle,I,And staff members went to war on each other.
161,blow_whistle,L,Within a few days the whispers had become a roar — South Africa for the 1995 World Cup.
162,blow_whistle,L,"N: If I die before I'm dead, please shoot me in the head "
163,blow_whistle,L,He entered a second-class compartment moments before the guard waved his flag and blew his whistle.
164,blow_whistle,Q,A shame Ocean didn't blow the whistle on it.
165,blow_whistle,L,"Surrounded by a hostile crowd who began to hiss and hoot, the  policeman blew his whistle for assistance."
166,blow_whistle,L,"Nick was some way along the line, at the bend where the track curved round the mountain and Carrie saw him put his hands over his ears as the train blew its whistle."
167,blow_whistle,L,"Leaning out of the window, just before the guard blew his whistle, she said in a desperate voice, ‘My darlings, my darlings, you are happy here, aren't you?’ and Carrie was more than frightened then; she was terrified."
168,blow_whistle,L,"Ghetto people luv dem dat is why dem blow a whistle,"
169,blow_whistle,L,When dey blow a whistle it's because dey dig de style
170,blow_whistle,L,"The low rumble of a juggernaut seems to vibrate all around us but we can immediately turn towards a high-pitched sound, such as whistle being blown."
171,blow_whistle,L,So they knew her name and it was all right.
172,blow_whistle,I,It is time some people got out of it.’
173,blow_whistle,L,"We used t er we used whistle, we used to blow this whistle and tell him what material we wanted, do you see?"
174,blow_whistle,L,"If you want to be out on that pitch when the referee blows his whistle, you'd better do it now.’"
175,blow_whistle,I,"This use assumes the importance of student impressions, but not their absolute truth; it offers opportunity and incentives for self-development, but no direct penalties; and it provides a mechanism for students to blow the whistle if problems move outside the range of acceptability."
176,blow_whistle,I,"If they had worked on me enough, I'd have blown the whistle on myself for the Lindbergh kidnapping, the bombing of Pearl Harbor, the Cleveland Torso slayings, betraying West Point to the British, fixing the 1919 World Series and souring all the milk in Salem, Massachusetts."
177,blow_whistle,I,"‘Most people assumed it was the Iranians who blew the whistle on North, McFarlane and Poindexter,’ Coleman says."
178,blow_whistle,I,Professor Philip James was chairman of the NACNE report and he also chaired the WHO report.
179,blow_whistle,I,"‘The party got a new Kreisleiter who didn't dig music and wasn't going to have any damned Commie subverting his cabbages, so he blew the whistle."
180,blow_whistle,L,"After a minute somebody blew a whistle, and we all rushed to the door."
181,blow_whistle,L,And maybe we'd be oh a long distance away from the school when we heard the schoolmaster blowing the whistle.
182,blow_whistle,L,No sooner was I off the train than the guard blew the whistle and the train started and I had to run for it.
183,blow_whistle,I,"Despite the much-vaunted claims of Conservative and Labour Members about their faith in competition, it is interesting that a truly radical step to introduce competition into the privatised utilities has yet to come."
184,blow_whistle,L,Mud covered players trooped off the field while the spectators made a concerted rush towards kiosks at the back of the ground to secure hot bovril and lukewarm pies.
185,blow_whistle,L,"The gendarme stood bewildered for a moment, and then ran into the street, where for some time he could be heard blowing his whistle."
186,blow_whistle,L,The referee blowing his bubbly whistle.
187,blow_whistle,L,The policeman was blowing a shrill whistle.
188,blow_whistle,L,well — he was solid — but no real —saves—. just the stuff that you would expect from —any—keeper playing in the premiership.
189,blow_whistle,L,Im sure Gav will fill in any bits I missed out…
190,blow_whistle,L,"The smell of chlorine engulfed her and someone suddenly blew a whistle, the sound echoing in the large enclosed area."
191,blow_whistle,L,"In spite of her earlier misgivings at finding David in the pool, Rachel, still mindful of his pleasure when he had caught sight of her, soon began to enjoy herself and was disappointed when all too soon David blew the whistle again and said it was time to get out of the water."
193,blow_whistle,I,"If they had wanted to, they had the opportunity to blow the whistle over the constitutional ruling.’"
194,blow_whistle,I,Top ref blows the whistle on Dinamo appeal
195,blow_whistle,I,Waterloo stars ready to blow whistle
196,blow_whistle,L,‘I had blown my whistle a long time before the ball was in the net.
197,blow_whistle,I,"In recording a verdict of accidental death, Mr Smith said Mrs Loughran seemed not have realised there was a car coming."
198,blow_whistle,L,"Oh we had whistles, and strangely enough, very seldom did we use them, simply because there were other traffic about that time  if you were a long way away, er you might be nearly to , if you blew your whistle, there were nobody to hear you, I mean people in houses, and they were only few and far between."
199,blow_whistle,L,"I, I, I don't hardly think that I can remember blowing a whistle."
200,blow_whistle,I,"Under the present compensation  er proposals put forward by Good, it would all be provided by the pension funds themselves and there's no pain for the fund managers er no requirement really for them to blow the whistle."
201,blow_whistle,L,‘Send it down the line.’
202,blow_whistle,Q,He blows the whistle — but it's not over yet.
203,blow_whistle,L,"No, no he didn't, he didn't blow it at all no, it's not on till four twenty this morning er three forty this morning that he blew it in, in the end."
204,bring_luck,I,"To primitive tribes a head, stuck on a pole at the village boundary, averted evil and brought luck."
205,bring_luck,I,Brands bring luck as well.
206,bring_luck,I,"And at this point he sat up in bed, said ‘White Rabbits!’ aloud, to bring luck throughout the coming month, and looked eagerly out of the window into the dewy sunshine which was beginning to shimmer on Thrush Green."
207,bring_luck,I,Above In prime viewing position in the bathroom hangs the picture of flowers that Hugh Browning painted as a wedding present for Bill and Angela
208,bring_luck,I,Why does a black cat bring good luck?
209,bring_luck,I,"This would explain the display to householders; by bringing the figure to their door, the bearers were bringing the luck associated with it."
210,bring_luck,I,‘They're supposed to bring good luck.’
211,bring_luck,I,They are blessed with good humour and bring luck to mortal miners by knocking at spots behind the seam faces where rich ore lodes may be found.
212,bring_luck,I,To leave the smoking club feels like a desertion.
213,bring_luck,I,"The singers themselves are uncertain, often replacing sampo (a word without a referent) by some other nonsense-word like sammas ."
214,bring_luck,I,Did the pooka bring good or bad luck?
215,bring_luck,I,Is it because such a meeting would bring bad luck or is there another reason?
216,bring_luck,I,It is a magical and lyrical tale of Lucky and his young minstrel master to whom he brings unexpected good luck — until he is stolen.
217,bring_luck,I,They were thought to bring good luck to the wearer by extending to him something of the protective power of a Roman Emperor.
218,bring_luck,I,"Planting it outside the backdoor was a sure way of keeping witches out of the house, and it was thought never to be struck by lightning; cutting it brought bad luck, and traditionally it was the wood the Cross of Calvary."
219,bring_luck,I,In the same swoop they took my father's silver cigarette case.
220,bring_luck,I,"He has no friends here, said the old woman, and with a faint hostility in her voice she added, bad men bring bad  luck."
221,bring_luck,I,"For a moment I wondered if I'd brought the bad luck down on us by pretending the planetaries weren't working, at the Vadinamian Valve."
222,bring_luck,I,The spirit of the wind will bring him good luck and the spirit of the rain will make him happy.’
223,bring_luck,I,This is said to bring good luck.
224,bring_luck,I,You've brought me luck.
225,bring_luck,I,"Besides, our first patient has brought us luck."
226,bring_luck,I,You've brought us good luck.’
227,bring_luck,I,He says they could have killed her.
228,catch_attention,I,"Leading the presentation of CHANCER will be Ted Childs (Executive Producer, Head of Central Films), Sarah D Wilson (Producer), Simon Burke (writer), Alan Grant (director)."
229,catch_attention,I,"His attention was caught by the National Bank of Greece — not an inappropriate interest for one who had composed ‘The Song Of The Hellenist’, and was drawn to Judaism's most persistent ‘enemy’ through it."
230,catch_attention,I,"One in particular caught his attention: a blonde couple by the name of Jensen, Norwegians, who had sailed to the island on their 16—foot boat along with their young son, Axel."
231,catch_attention,I,"The influence of jazz and Latin American rhythms caught the attention of Les Six, Walton and Lambert and in turn inspired choreographers such as Ashton."
232,catch_attention,I,Denis Healey was noticed by 24 per cent in the pre-Campaign Wave when he accompanied Kinnock on his visit to President Reagan.
233,catch_attention,I,There are other ways for aspiring stars to catch the attention of a record company.
234,catch_attention,I,‘Amy's drawing caught my attention because it was a simple but dramatic interpretation of the brief.
235,catch_attention,I,"The need to catch the attention of browsers and quickly to tell them that Parker pens are elegant, or that Toshiba personal computers are high-tech, has spawned most of these ‘display’ faces."
236,catch_attention,I,"From somewhere beyond the walls of the lavatory, faint, sporadic rifle fire caught Peregrine's attention."
237,catch_attention,I,Something in the way this was said clearly caught Miss Blagden's attention.
238,catch_attention,I,"During a lull, when for once nothing seemed to have fallen under the machine, she tried to catch her attention."
239,catch_attention,I,But it may say something also about the condition of the musical theatre that this subject has caught the attention of two composers.
240,catch_attention,I,A large camouflaged painted truck caught their attention.
241,catch_attention,I,Are there examples of children's work or even commercial prints on display to catch attention?
242,catch_attention,I,The shaking table is a 50-tonne concrete plate set horizontally in a hole in a concrete floor with several centimetres of play at the edges.
243,catch_attention,I,Something — some wryness in her lip — caught Marion's attention.
244,catch_attention,I,I did like her show (and her little pink drawers)
245,catch_attention,I,"Just then, the Land Rover caught our attention and we all turned towards the road."
246,catch_attention,I,"His hardworking, selfless style rarely caught the attention of the media but Palace patrons of the time thoroughly appreciated Tony's worth."
247,catch_attention,I,"It became a pattern to work in Paris after a season or two in England but if a replacement was urgently needed, any dancer who caught her attention was likely to be shipped abroad."
248,catch_attention,I,"Small, compact, puckish, he had the aura of an insatiably inquisitive vole, continually turning over ideas, playing with them, and challenging you to come clean about what you thought."
249,catch_attention,I,HALLE/BARBIROLLI
250,catch_attention,I,Delaney's stillness caught the attention of the others.
251,catch_attention,I,"Well done ZZAP!, keep it up."
252,catch_attention,I,"She was inclining her head, and nodding periodically, but her fidgeting fingers gave Lee the confidence to wave across the room and catch her attention."
253,catch_attention,I,Roseberry's musical background might go some way to explaining her ‘good ear’ as well as her sympathy for musicians trying to catch the attention of A&R departments.
254,catch_attention,I,"And those people say, ‘Well, it doesn't catch our audience's attention.’"
255,catch_attention,I,"Yet when she changed focus from the stomach, which was the first part of this new individual to catch her attention, to the face, which was the second, she immediately fixated on what she saw there."
256,catch_attention,I,The duchess registered the sudden brightening of her daughter's expression and the my Richard with some exasperation — but it was Joan's face that caught her attention.
257,catch_attention,I,"On their return to the beach, an hour's flashing of torches was needed to catch the attention of the landing craft crews who had withdrawn too far from the beach according to one report."
258,catch_attention,I,Julia's attention was caught.
259,catch_attention,I,Midfielder Donnelly is interesting Villa boss Ron Atkinson while Masinga has caught the attention of Everton and Sheffield Wednesday.
260,catch_attention,I,"Many weeks of such training must follow, in the target ranges beside the Foundries, and in cleverly designed menacing environments, using live ammunition."
261,catch_attention,I,The quarrel caught the attention of a member of the CPVPV.
262,catch_attention,I,In any event I assumed the man in the overalls was the engineer and he was the one who caught my attention.
263,catch_attention,I,"His saddle was sheathed in lamb's fleece and the horse's curb chains were of pure silver, yet, for all that gaudy finery, it was the British officer's face that caught the attention."
264,catch_attention,I,"His eyes were fixed on someone or something at the room's edge and Lucille, turning to see what had caught his astonished attention, saw the golden girl returning d'Alembord's gaze with what seemed to be pure poison."
265,catch_attention,I,It was the final word which caught his attention.
266,catch_attention,I,A much smaller flash of light caught his attention.
267,catch_attention,I,"Even though that share seemed to fall over time, as claims were settled, the $170m insurers spent in such unproductive ways in 1989 alone would have paid for the treatment of 15 sites."
268,catch_attention,I,"A bit of activity out on the water catches my attention next and I bring the ‘scope out; it is a small party of long-tailed duck in their handsome winter plumage, the long tail-streamers of the drakes showing clearly as they display to the females."
269,catch_attention,I,What caught most people's attention were radical new forged karabiner designs from DMM and HB.
270,catch_attention,I,Here we show a selection of the latest kitchen designs.
271,catch_attention,I,"The tail is an obvious and potent signaller: the raised tail of a mare in oestrus catches the stallion's attention, while a stiff tail denotes tension."
272,catch_attention,I,"The film was nearing its climax: despite herself, and despite her incomprehension, her attention had been caught, and she was at last following it."
273,catch_attention,I,"Notes on a lesson are often of a vague and impressionistic kind, which makes it almost impossible to draw the kind of inferences needed for our purposes, while those particular instances that are recorded are often atypical, having caught the observer's attention for that very reason."
274,catch_attention,I,"Having struggled over preparation, he managed to give a light-hearted and amusing touch which caught the attention of his audience, so that the message was accepted and gave food for subsequent thought."
275,catch_attention,I,The editor may never read the rest of the release.
276,catch_attention,I,"At the time the world's attention was caught by the drowning of the antiquities along this stretch of river, and the heroic efforts made to save temples like Abu Simbel."
277,catch_attention,I,"‘My dear boy,’ she heard Meredith say, ‘you're far too sensitive.’"
278,catch_attention,I,"Then her attention was caught by two young men who leant against a hoarding, drinking tea from cardboard cups with unhurried, slow, rustic movements."
279,catch_attention,I,Something had caught his attention.
280,catch_attention,I,"The interest of the BBC's Heart of the Matter was triggered by Newsnight and that, in turn, caught the attention of a researcher on Wogan , Mandy Nixon, who asked if I wanted to appear on the programme."
281,catch_attention,I,Promotion came rapidly once he caught Viktor Rakovsky's attention.
282,catch_attention,I,"Prentice stood on the flower, then jumped, shrieking with pain."
283,catch_attention,I,"Darwinism was characteristic of an age of exploitation, and the idea of progress through struggle caught everyone's attention."
284,catch_attention,I,"The pre- and postsynaptic membranes can be separated out from IMHV and studied in isolation by centrifugation, rather like the method I described in Chapter 3."
285,catch_attention,I,"Their harsh footsteps on the tiles attracted curious stares from the other patients and, as they neared him, they caught Marek's attention."
