mwe;label;short_sentence
смотреть в лицо;L;(Я и прежде об этом подумывал, да вы тогда не были свободны...) Среди всех моих самодельных ощущений, радостей и страданий, единственно истинным чувством было то небольшое, но невольное влечение к вам, которое завяло тогда, как одинокий колос среди негодных трав... Дайте мне хоть раз посмотреть в лицо другое, в другую душу -- мое собственное лицо мне опротивело я похож на человека, который был бы осужден весь свой век жить в комнате с зеркальными стенами... Я не требую от вас никаких признаний -- о, боже, нет!
поставить точку;I;30 июня 1994 года я выступила в газете Диена с заметкой под заголовком Не настало ли время поставить точку?
поставить точку;I;BRА потом я ушел в тяжелой тоске. Тут бы надо поставить точку. Но это
поставить точку;I; Надо, так сказать, поставить точку на первой половине р_а_б_о_т_ы н_а_д с_о_б_о_й.
поставить точку;I;- Переехать в богадельню - значит, самой поставить точку в собственной жизни.
поставить точку;I;Все, решил - еду в Мадрид. Настало время поставить точку в моих делах.
поставить точку;I; Сергей Иванович не хотел себе признаваться, но эта мысль уже не первый раз появлялась в его голове Наверное, этих слов тети Маши как раз и не хватало, чтобы поставить точку.. Да, наверное, так и нужно решить - конец головоломки.
поставить точку;I;"Он сидит при свече несколько минут, мрачный, потерявший всякую надежду. Он намеревался тотчас после праздника ""поставить точку"". Но сейчас он испытывает такую усталость, что голова у него больше не работает."
поставить точку;I; Но тут я должен поставить точку и закончить словами, которые покамест на всякий вопрос представляют наиболее подходящий ответ, а именно: не наше дело.
поставить точку;I;Он не мог уйти от него, от своего прошлого. Не мог поставить точку, рубеж и начать от него новую жизнь. Наоборот - он втягивал эту свою новую жизнь в прошлое и ценил её и творил по старым, возможно, уже негодным шаблонам...
поставить точку;I;Если бы здесь можно было поставить точку, получился бы какой ни есть хэппи энд - ведь лет 15-20 Додику еще светило.
поставить точку;I;Но дальше оказалась она еще грустней и печальней.
поставить точку;I;Я должен был поставить точку, закрыть дверь, задвинуть ящик - то есть отбросить то, что произошло, чтобы целиком заняться тем, что было передо мной.
поставить точку;I; Хотя в этом случае и не требовалось моего утверждения, но я решил и здесь поставить точку над и:
поставить точку;I; Чувствую я, что пора все-таки поставить точку. Пока писал эту книгу, непрерывно готовил: то хотелось освежить в памяти и проверить рецепт блюда, которое давно не делал, то вдруг проходя мимо полок в магазине видел симпатичный кусочек свинины со скидкой, и тут же приходило в голову, что хорошо было бы запечь буженины, и так далее. В результате, за пару месяцев я поправился на три с лишним кило, а это форменное безобразие. 
поставить точку;I;" 	Мысль понравилась и мне оставалось поставить точку."
поставить точку;I; И кладет трубку. Она умеет  эффектно поставить точку и закончить разговор.
поставить точку;L;Плюшевый
поставить точку;L;От  всего этого моя рука с банкой поднялась, с твердым намерением поставить точку над , то есть над наглым измывательством над моей собственностью.
поставить точку;L;А эти бесконечные, болезненно длящиеся предложения, будто пишущий отчаянно боится поставить точку и оттого продолжает нанизывать на почти уже исчезающую ось смысла все новые и новые, неизвестно к чему причастные и деепричастные обороты, сложные иерархии подчинений и припадочные придаточные, на скорую руку скрепляя их кривыми закорючками запятых, дрожащими от напряжения канатиками тире и союзами, изношенными вдрызг от чрезмерного употребления!
смотреть в глаза;I;В глубине души он чувствовал уже, что он негодяй, которому должно быть совестно смотреть в глаза людям, а между тем он по привычке с обычными, самоуверенными движениями вошел на возвышение и сел на свое место, вторым после старшины, заложив ногу на ногу и играя -.
смотреть в глаза;I;Он не испытывал того стыда, который обыкновенно мучал его после падения, и он мог смело смотреть в глаза людям.
смотреть в глаза;I;"Правда, этот поступок заключал в себе элементы чистейшей шутки, но если проклятая рука покажет самый факт, не осветив его с настоящей точки зрения,-- в каком позорном положении окажусь я, похититель сигар... Сумею ли прямо посмотреть в глаза хироманту?"""
смотреть в глаза;I;Он, кроме того, опять попал в прежнюю колею жизни. Он видел возможность без стыда смотреть в глаза людям и мог жить, руководствуясь своими привычками. Одно, чего он не мог вырвать из своего сердца, несмотря на то, что он не переставая боролся с этим чувством, это было доходящее до отчаяния сожаление о том, что он навсегда потерял ее.
смотреть в глаза;I;Я сознавал свою вину, и мне было стыдно смотреть в глаза людям вот почему я решил покинуть Оксфорд на другой же день, до зари, прежде чем дневной свет успеет показать меня жителям города.
смотреть в глаза;I; После этого смотра, или этих маневров, и Бенни и те, кто должен был репрезентовать чужеземному революционеру домашние русские революционные силы, внезапно почувствовали, что им стало не совсем ловко смотреть в глаза друг другу.
смотреть в глаза;I;Ежеминутно имея прямое отношение лишь к самой незамысловатой и неизукрашенной действительности, ежеминутно встречая лицом к лицу свою насущную жизнь, которая часто представляет для него одну бесконечную невзгоду и во всяком случае многого никогда ему не дает, он привыкает смело смотреть в глаза этой суровой мачехе, которая по временам еще осмеливается заговаривать льстивыми голосами и называть себя родной матерью.
смотреть в глаза;I;Пусть все будет проще, будет легче. Научимся прямо смотреть в глаза жизни.
смотреть в глаза;I;"Через все надо пройти! А он, как он будет без стыда смотреть в глаза своему другу Вивиану?.."" Она почувствовала, что Браун будет смотреть в глаза Вивиану вполне равнодушно, и эта мысль не была гадка Мусе."
смотреть в глаза;I;-- Куда торопишься, бывший кунак? Или стыдно смотреть в глаза соседке? Постой же, остановись, когда тебе говорят!
смотреть в глаза;I; Петр Опалинский, воевода полесский, двинулся во главе отряда драгун под Устье кроме того, ротмистрам Скорашевскому и Скшетускому приказано было выбрать охотников из шляхты и послать их поближе посмотреть в глаза неприятелю.
смотреть в глаза;I;Твое место в рядах полка, а мое при раненых. Я рус-ская девушка и ты русский солдат и мы должны уметь смотреть в глаза смерти!.. Иди!
смотреть в глаза;I;И станет так стыдно Зюнгейке, так неловко смотреть в глаза им всем, а особенно крестному отцу, генералу, который вывез ее сюда из ее родимых степей и к которому она ходит в отпуск по праздникам и воскресеньям.
смотреть в глаза;I;И вот сегодня, Рената, после того, как ты дала мне тысячи доказательств, что любишь меня, повторяю я тебе мою просьбу, которую раньше едва смел произнести: быть моей женой, ибо я хочу, чтобы моя подруга могла без смущения смотреть в глаза всем женщинам.
смотреть в глаза;I;Ему хотелось дождаться ее, чтобы увидеть застенчивую, виноватую улыбку женщины, которая много позво-лила, а теперь, при дневном свете, ей немножко стыдно смотреть в глаза.
смотреть в глаза;I;Да?-- возмущённо заговорила она.-- Ты думаешь, что замужней женщине так легко стать любовницей другого... Ты думаешь, что я в силах, мне возможно теперь открыто смотреть в глаза мужа?
смотреть в глаза;I; Как развязать отношения с Марьей Васильевной, с ее мужем так, чтобы было не стыдно смотреть в глаза ему и его детям?
смотреть в глаза;I;Но как ни любопытно было смотреть в глаза смерти, однако ж надо было все-таки поддерживать остаток жизни, хотя, может быть, очень краткий, обедать, спать.
смотреть в глаза;I;Теперь же все это было у меня и всего вдоволь, и я даже не боялся смотреть в глаза будущему: я знал, что к тому времени, когда выйдут мои заряды и порох, у меня будет в руках другое средство добывать себе пищу.
смотреть в глаза;I;Первая приведет к гибели. В этом вопросе теперь надо правде смело посмотреть в глаза. И решить.
смотреть в глаза;I;"Запасное оборудование ""Галиотиса"" было чрезвычайно многочисленно, а двадцать два человека, вооруженные домкратами, дифференциальными блоками, канатами, клещами и горнами, могут не моргая смотреть в глаза судьбе."
смотреть в глаза;I; --Вы и этого не понимаете?-- с презрительной улыбкой проговорила Ираида Филатьевна.-- Вы, кажется, уверены, что, имея деньги, можно делать все и, мало этого, можно смотреть в глаза другим людям с чистой совестью...
смотреть в глаза;I; Несмотря на все мое уважение, во все время нашего с ним знакомства, мне, Бог знает отчего, бывало тяжело и неловко смотреть ему в глаза.
смотреть в глаза;I; Но не одни только, так сказать, официальные рабы вздохнули теперь свободнее: всякого рода бедность и загнанность начинают смело смотреть в глаза капиталу, знати, могуществу, чувствующим оттого немалое смущение.
смотреть в глаза;I;Теперь, заплатив дань непритворной скорби прошедшему, мы должны посмотреть в глаза близкому будущему.
смотреть в глаза;I;Я отказалась от надежды освободить его имя от лежавшего на нем пятна, от постыдного пятна, как бы ни было оно незначительно в глазах закона.
смотреть в глаза;I; Между тем мне было совестно смотреть в глаза Роулею. Молодой брадобрей пробудил во мне сознание того, что я был совершенно неправ из-за него я провел бессонную ночь и пережил жестокий благодетельный стыд.
смотреть в глаза;I;Раньше он мог смело смотреть в глаза всем: его семейная жизнь касалась только его одного, а теперь...
смотреть в глаза;I; -- Не знаю-с! -- отвечала та, видимо, прилагая все усилия, чтобы прямо смотреть в глаза Прилежаевой.
смотреть в глаза;I;        Хозяйка, недовольная, вошла в комнату, и ей как будто неловко было смотреть в глаза Пелагее Прохоровне но Пелагея Прохоровна поняла, что разговор касался ее и что Большаковы, вероятно, хотели ее взять к себе в работницы, а потом раздумали.BR
смотреть в глаза;I;А главное во что остаётся верить? Всю свою жизнь он прожил так, что ему не было  стыдно посмотреть в глаза людям. Большинство коллег на работе не были для него загадкой.
смотреть в глаза;I;Они уничтожат скоро причину твоего беспокойства и дадут тебе возможность смело смотреть в глаза всем окружающим.
смотреть в глаза;I; Всякий бежал неизвестно куда и зачем, боясь смотреть в глаза правде.
смотреть в глаза;I;Между тем если б мы имели практическую смелость наших прародителей, которые, как мы знаем, брали для своего народа последнее слово того исключительно справедливого и хорошего, до чего дострадалась человеческая мысль, так мы именно не должны бы были бояться прямо, без всяких экивоков, смотреть в глаза тому положению, которое переживает человечество старше нас в настоящую минуту, безбоязненно отделять зло от добра и брать для нашего народа исключительно только последнее, не страшась того, что оно, быть может, и не придется иному по вкусу.
смотреть в глаза;I;И он также принял жизнь, как она есть, не с одними ее душистыми цветами и яркой зеленью,- и он принял ее такую, как эта безыскусственная обнаженная природа, и любо стало ему смотреть в глаза этому созвучному с его мыслями, унылому виду.
смотреть в глаза;I;}, отогревало сырую землю, эмалью покрывало листики цветков, радостью наполняло все живущее и копошащееся в траве, на воздухе, закуривало сигары* и гордо не дозволяло себе смотреть в глаза.
смотреть в глаза;I;Я, слава богу, всем людям могу смело смотреть в глаза, и на имуществе, которое я собираю для моих детей, нет ни чужих слез, ни чужих несчастий.
смотреть в глаза;I; Обман слаще -- но действительности надо смотреть в глаза прямо.
смотреть в глаза;I;ь все задатки быть хорошей женой и матерью, что она закалена уже немалыми испытаниями, выпавшими на ее долю за время этой войны, и потому ее не смутит, не заставит опустить руки никакая жизненная борьба, никакой труд, никакие неприятные случайности или лишения.-- Нет, думалось ему, она сумеет прямо смотреть в глаза жизни, не станет ни ныть, ни хныкать, ни нервничать по пустякам, да и в серьезном чем не растеряется по-бабьи,-- словом, будет для мужа не женой-игрушкой, не роскошью дорого стоящей и подчас несносной, а действительным другом и товарищем на жизненной дороге.
смотреть в глаза;I; Принц Антон пытался воздействовать на жену, молил ее, жизнью и счастьем сына заклинал ее встряхнуться и посмотреть в глаза опасности, но Анна Леопольдовна только отмахивалась от него, словно от назойливой мухи.
смотреть в глаза;I; -- Да, помилуй, что я буду с ним говорить, когда я не могу ему пользы сделать? Совестно смотреть в глаза, как увижу, что они работают, а я гуляю и бегу скорей в сторону. Глаза стыдно на них поднять... Что я, перед ними паясничать буду, что ли?
смотреть в глаза;I; В глубине, в самой глубине души он знал, что поступил так скверно, подло, жестоко, что ему, с сознанием этого поступка, нельзя не только самому осуждать кого-нибудь, но смотреть в глаза людям, не говоря уже о том, чтобы считать себя прекрасным, благородным, великодушным молодым человеком, каким он считал себя.
смотреть в глаза;L; Горькая усмешка в одну минуту слетела с лица Давида глаза его пристально и задумчиво стали смотреть в глаза красавицы густой румянец негодования от ушей до самых усов разлился по смуглым щекам его.
смотреть в глаза;L;Подойдя к Деснину вплотную, сатана наложил руки ему на виски и стал смотреть в глаза с особенным вниманием, как бы стараясь проникнуть своим взглядом в самую глубь души.
смотреть в глаза;L;Если не смотреть в глаза их дочерям, изнасилованным подонками, которые насмотрелись вашего телевидения, если не слышать рыдания по замученным вашими околоточными в их собственных застенках... Ну, просто не реагировать публично... А если вообще заткнуть уши, то и о бездомных не услышишь.
смотреть в глаза;L;Врачи избегали смотреть в глаза, и было неясно: то ли действительно не могли помочь, то ли по причине августовского дефолта.
смотреть в глаза;L;И сказав это, он стал внимательно смотреть в глаза молодому рыцарю, почти не дыша но тот с большим удивлением ответил:
смотреть в глаза;L;     Василий Львович, избегая смотреть в глаза брату, отказался назвать имя.
смотреть в глаза;L;А Ротгер стал пристально смотреть в глаза князю и сказал:
смотреть в глаза;L; -Простите меня, княжна! Может, мы никогда с вами не увидимся,- не смея смотреть в глаза княжне, чуть слышно сказал Николай.
смотреть в глаза;L;Вместе с этим у них явилась  по  отношению ко мне какая-то
смотреть в глаза;L; Рыдая, он упал к её одру, приник на мгновение лбом к её прозрачной руке и снова, оторвавшись, стал смотреть в глаза, и снова прижался лицом к ней... Страшный, как ночной набат, кашель потряс её пустую, гулкую грудь, из угла рта протекла на подушку струйка крови, и синие глаза, не отрываясь от его лица, стали стыть, заволакиваться, уходить... И по прелестному личику тихо разливалось выражение какого-то неземного покоя и нежности...
смотреть в глаза;L; И не смотреть в глаза портье, молодому белобрысому шведу. Видеть только его руки. Всё!  Последовательно менять цвета - и будь, что будет. В каюту за деньгами не бегать. В азарт не впадать. В глаза не смотреть. В долг не брать... 
смотреть в глаза;L;Может быть, от чувства бессилия изменить то, что была обязана изменить, она ощущала себя несчастнейшей женщиной на свете. Несчастнее последней нищенки, которым за всю свою жизнь она так и не научилась смотреть в глаза.
смотреть в глаза;L;Теперь у них были почему-то совсем особенные, странные лица, точно они боялись не только посмотреть в глаза Данилову, но даже друг другу.
смотреть в глаза;L;Сюда я привел Зою, надеясь посидеть с ней в укромном уголке и, как прежде, молчаливо поласкаться взорами и нечаянными прикосновениями. А вместо этого мы сидим и боимся не только коснуться, но даже смотреть в глаза друг другу. Звонкие голоса детей доносятся до нас с песчаной площадки, веселые такие голоса-колокольчики, и от этой детской беспечной радости еще сильнее чувствуется горечь, обида и тоска.
смотреть в глаза;L;     -  Не судил, видно,  бог! - проговорил  я, стараясь не смотреть в глаза прачки
смотреть в глаза;L;"Нет, Александр Михайлович, не обижайте женщин! Я чувствую по себе: я могу любить, быть другом мужчины и, не краснея, смотреть в глаза своему мужу. ""Но злословие, -- скажете вы, -- но этот бездушный тиран, чудовище, прозванное общим мнением, этот ханжа и лицемер, которого мы называем светом и для которого всего важней наружность, он восстанет против самой чистой, святой дружбы, придумает, прибавит, растолкует по-св"
смотреть в глаза;L;"Бывают мгновенья,  когда можно ""прочесть"" другого, даже незнакомца, как газетный лист - кинуть взгляд и,  например, понять, что девчонка торопится куда-то по важному делу. Посмотреть в глаза и увидеть, что внутри у другого горит такое же пламя! Сжигающее все преграды на пути к цели, известной только тебе одному - и, может, еще судьбе."
смотреть в глаза;L;Но я приехал совсем с другою целью. Мне хотелось посмотреть в глаза портрета страшного полковника лёгкой кавалерии времён Собеского. И когда я смотрел в эти зловещие глаза, повсюду поворачивающиеся за человеком, мне на память пришли и мои деды, изображение которых висело у нас в зале, -- и те такие же суровые, железные.
смотреть в глаза;L;Я не мог по-прежнему спокойно смотреть в глаза Черевину и Мартынову, которые в тот день обедали вместе со мною мне казалось, что они все знают и что некоторые их слова были намеком на мой бессовестный поступок я был так смущен, так странен, что они необходимо должны были спросить меня, что со мною сделалось, здоров ли я?
смотреть в глаза;L;-- Вам не солгали, синьора... Но капитан Темпеста и все, пользующиеся его расположением, составляют для меня исключение...
смотреть в глаза;L;Каждый из вас отдает этому делу самое драгоценное - свой человеческий день он уже не может смотреть в глаза своей жене столько, сколько хочется, не может собирать грибы и думать о том, почему трава зеленая, а не красная.
смотреть в глаза;L; - Но это будет бесчестно! Я не смогу после этого ни одному готу смотреть в глаза.
смотреть в глаза;L;Обманывали себя -- делали вид, что теперь всё кончилось и что всё страшное надо забыть. Но не могли пристально смотреть в глаза друг другу: обе понимали, что самое страшное впереди. Об нём-то и боялись думать больше всего.
смотреть в глаза;L; Казалось, сам ангел не мог бы смотреть в глаза с большим чистосердечием. Со слезами горя ломала себе руки бедная дитя, умоляя о защите и помощи. 
смотреть в глаза;L;Не обошлось и без того, чтоб кое-кто из офицеров не влюбился в нее, но никто не смел ей так прямо смотреть в глаза, как той чернушке-украинке.
смотреть в глаза;L;Ему тяжело было смотреть в глаза царице, она напоминала ему злого гада -- змея, василиска сказочного.
смотреть в глаза;L;Василий Лукич объявил, что бояться особенно нечего: князь Голицын в фаворе не будет, не таков он человек, он ни за что не может отказаться от своей самостоятельности, не может смотреть в глаза, постоянно угодничать, да и характер у него тяжелый: сам себе повредит сразу.
