mwe;label;sentence;par
себе на голову;L; окно... Олег, наконец решившись, на одних пятках подъезжает к умывальнику и сперва долго, с облегчением мочеиспускает в раковину, слушая характерное урчание жидкости, напоминающее почему-то Финляндию, затем, наклонившись, как пес, лакает воду из-под крана, радуясь ее свежему избытку, затем льет ее себе на голову, фыркает, трет уши и глаза докрасна, зажмурившись, ищет полотенце и докрасна утирает рожу и глаза, затем начесывает волосы на нос и обломком гребенки рассупонивает пробор. Голова сжата холодом склеившихся волос, он смотрится в зеркало, думая о том, что в его возрасте уже нельзя не поб;2
себе на голову;L;рь ярость его не знала границ. Его опьяняло дыхание невидимого, черный ужас этой дыры, в которую хлестал ливень словно бес разрушения вселился в него. Он набрасывался на попавшуюся под руку часть, колотил по ней, где только мог, коловоротом и пилой, как бы охваченный потребностью обрушить ее тут же себе на голову. Суварин делал свою работу с такой свирепостью, что казалось, он играет ножом, поворачивая его в теле ненавистного живого существа. Он хотел одного -- убить наконец этого злого зверя Воре с вечно разверстой пастью, поглотившего столько человеческих жизней. Суварин вытягивался, ползал,;2
себе на голову;L;" Во времена христианства в спорах о межах прибегали к ""образу Пречистыя"". Когда соглашались на такой способ, один старожил брал образ Богоматери, ставил его себе на голову и, в сопровождении прочих знахарей, шел по меже от дуба, на котором намечен был знак. Пошел немного до стопняка, повернул направо, а когда вышел к паренине {Третье гулевое поле, обыкновенно оставляемое под выгон скота, оно же и паровое поле, а степняк -- сложенная в порядке куча: либо ворох булыжных камней, либо дрова или бревна, сложенные в клетки, обыкновенно счетом.}, за перелеском, то прямо указал гранные копаные ямы. От";2
себе на голову;L; ждем не дождемся, когда бог избавит нас хоть от одной тетушки, и обещала поставить свечу Николаю чудотворцу, когда ее не будет. Слезы брызнули из глаз чувствительной невесты. Сестра ее не выдержала и, как ястреб, распустив когти, хотела вцепиться мне в волоса, но я успела спасти их, быстро накинув себе на голову передник... Бледная от злости, Степанида Петровна стучала мне в голову кулаком так, что искры сыпались у меня из глаз, но я нарочно смеялась и уверяла, что мне совсем не больно... И она также расплакалась и требовала, чтоб гувернантка строго наказала меня к удивлению моему, гувернантк;2
себе на голову;L;  Нищий поднял первое блюдо над головой. К нему подошел соборный протодиакон с орарем11 на руке и, бережно взяв блюдо, возложил его себе на голову, как бы это был дискос с агнцем пасхальным12. Потом, вместе со священником, державшим в руках крест, он вышел из алтаря и направился к выходу из собора. За ними следовал тот седой боярин с золотою гривною на шее, который и прежде этого выходил на паперть. Это был посадник -- глава Господина Великаго Новгорода. Все глаза по-прежнему напряженно следили за движениями этих трех лиц.;2
себе на голову;L; окно... Олег, наконец решившись, на одних пятках подъезжает к умывальнику и сперва долго, с облегчением мочеиспускает в раковину, слушая характерное урчание жидкости, напоминающее почему-то Финляндию, затем, наклонившись, как пес, лакает воду из-под крана, радуясь ее свежему избытку, затем льет ее себе на голову, фыркает, трет уши и глаза докрасна, зажмурившись, ищет полотенце и докрасна утирает рожу и глаза, затем начесывает волосы на нос и обломком гребенки рассупонивает пробор. Голова сжата холодом склеившихся волос, он смотрится в зеркало, думая о том, что в его возрасте уже нельзя не поб;2
себе на голову;L;а от страха, а только на поверку вышло, что она хитрей всех. Встала потихоньку, богу помолилась, взяла тулупчик тот самый, что ее лесничиха укрыла и, понимаешь, с ней на печке лесникова девочка лежала, одних годочков с ней, -- она эту девочку укрыла тулупчиком, а с нее взяла бабью кофту и накинула на себя. Поменялась, значит. Накинула себе на голову и так прошла через избу мимо пьяниц, а те думали, что это лесникова дочка, и даже не взглянули. На ее счастье бабы в избе не было, за водкой пошла, а то бы, пожалуй, не миновать ей топора, потому бабий глаз видючий, как у кобца. У бабы глаз острый.;2
себе на голову;L;"три ногою, пролил вино дорогое, замарал ковер многоценный.-- ""Коли пить, так пить из полного"",-- примолвил он, ухватился за столбы, на которых повешен был за ушки котел, вырвал столбы из земли, словно перо из крыла гусиного, приставил котел ко рту, в три роздыха весь выхлебал и порожний котел надел себе на голову. Тут расхохоталась новгородская молодежь, кричит, шумит: ""Этакий пьяница! Как он себе глаза-то налил: и котел-то ему шапкой показался!"" Незнакомый взял в обе руки по столбу, на которых повешен был котел, и обратись к Буслаю сказал: ""На этом что ли силу-то пробовать?"" -- ""Нет! -- отвеч";2
себе на голову;L;  Нищий поднял первое блюдо над головой. К нему подошел соборный протодиакон с орарем11 на руке и, бережно взяв блюдо, возложил его себе на голову, как бы это был дискос с агнцем пасхальным12. Потом, вместе со священником, державшим в руках крест, он вышел из алтаря и направился к выходу из собора. За ними следовал тот седой боярин с золотою гривною на шее, который и прежде этого выходил на паперть. Это был посадник -- глава Господина Великаго Новгорода. Все глаза по-прежнему напряженно следили за движениями этих трех лиц.;2
себе на голову;L;" Он хотел выразить на словах или мимикой свое общественное положение и не знал, как это сделать. Выручила его картина с крупною надписью: ""Город Венеция"", висевшая на стене. Он указал пальцем на город, потом себе на голову, и таким образом, по его мнению, получилась фраза: ""Я городской голова"". Перс ничего не понял, но улыбнулся и сказал:";2
себе на голову;L;" Во времена христианства в спорах о межах прибегали к ""образу Пречистыя"". Когда соглашались на такой способ, один старожил брал образ Богоматери, ставил его себе на голову и, в сопровождении прочих знахарей, шел по меже от дуба, на котором намечен был знак. Пошел немного до стопняка, повернул направо, а когда вышел к паренине {Третье гулевое поле, обыкновенно оставляемое под выгон скота, оно же и паровое поле, а степняк -- сложенная в порядке куча: либо ворох булыжных камней, либо дрова или бревна, сложенные в клетки, обыкновенно счетом.}, за перелеском, то прямо указал гранные копаные ямы. От";2
себе на голову;L;" 60. Татары говорят вместо ""присягаю"" -- ""пью клятву"". Известно, что это выражение относится к старинному, языческому обряду племен Монгольской плоской возвышенности, у которых присягающие выпускали друг у друга несколько капель крови и пили ее при этом они еще надевали себе на голову, как утверждает один персидский писатель, юбку старой бабы и произносили: ""пусть сделаюсь презреннее этой исподницы, ежели не сдержу моего обещания!""";2
себе на голову;L; Я почувствовал, что дальше не выдержу. Какие-то красные круги замелькали перед моими глазами. Я вскочил, выбежал в столовую, схватил графин с водой и вылил себе на голову. Потом, уже не сознавая, что делаю, я бросил графин на землю так, что он рассыпался на тысячу кусков, и выбежал в сени.;2
себе на голову;L;  И это блюдо протодиакон возложил себе на голову. Тем же порядком и священник с крестом, и протодиакон с блюдом на голове, и посадник вышли к народу.;2
себе на голову;L;" 60. Татары говорят вместо ""присягаю"" -- ""пью клятву"". Известно, что это выражение относится к старинному, языческому обряду племен Монгольской плоской возвышенности, у которых присягающие выпускали друг у друга несколько капель крови и пили ее при этом они еще надевали себе на голову, как утверждает один персидский писатель, юбку старой бабы и произносили: ""пусть сделаюсь презреннее этой исподницы, ежели не сдержу моего обещания!""";2
себе на голову;L; Узнал от шаферов, что раненый офицер ловким манером избежал Гименея. Он представил разноцветной девице медицинское свидетельство, что благодаря ране в висок он умственно ненормален, а потому по закону не имеет права жениться. Идея! Я тоже мог бы представить свидетельство. Мой дядя пил запоем, другой дядя был очень рассеян (однажды вместо шапки надел себе на голову дамскую муфту), тетка много играла на рояли и при встрече с мужчинами показывала им язык. К тому же еще мой в высшей степени вспыльчивый характер -- очень подозрительный симптом. Но почему хорошие идеи приходят так поздно? Почему?;2
себе на голову;L; И с этими словами он ухарски опрокинул в глотку довольно крупную дозу спиртуозной жидкости и поставил стакан к себе на голову-- ради очевидного доказательства, что в нем не осталось ни капли.;2
себе на голову;L; И с этими словами он ухарски опрокинул в глотку довольно крупную дозу спиртуозной жидкости и поставил стакан к себе на голову-- ради очевидного доказательства, что в нем не осталось ни капли.;2
себе на голову;L;то лицо и близко и издали. Проникнем в чистенький домик отца Туберозова. Может быть, стоя внутри этого дома, найдем средство заглянуть внутрь души его хозяина, как смотрят в стеклянный улей, где пчела строит свой дивный сот, с воском на освещение лица божия, с медом на усладу человека. Но будем осторожны и деликатны: наденем легкие сандалии, чтобы шаги ног наших не встревожили задумчивого и грустного протопопа положим сказочную шапку-невидимку себе на голову, дабы любопытный зрак наш не смущал серьезного взгляда чинного старца, и станем иметь уши наши отверзтыми ко всему, что от него услышим. ;2
себе на голову;L; Узнал от шаферов, что раненый офицер ловким манером избежал Гименея. Он представил разноцветной девице медицинское свидетельство, что благодаря ране в висок он умственно ненормален, а потому по закону не имеет права жениться. Идея! Я тоже мог бы представить свидетельство. Мой дядя пил запоем, другой дядя был очень рассеян (однажды вместо шапки надел себе на голову дамскую муфту), тетка много играла на рояли и при встрече с мужчинами показывала им язык. К тому же еще мой в высшей степени вспыльчивый характер -- очень подозрительный симптом. Но почему хорошие идеи приходят так поздно? Почему?;2
себе на голову;L;  Потом она перекрестилась, положила книгу себе на голову, трижды повернула ее на голове, щелкнула серебряными застежками и наудачу открыла книгу.;2
себе на голову;L;а от страха, а только на поверку вышло, что она хитрей всех. Встала потихоньку, богу помолилась, взяла тулупчик тот самый, что ее лесничиха укрыла и, понимаешь, с ней на печке лесникова девочка лежала, одних годочков с ней, -- она эту девочку укрыла тулупчиком, а с нее взяла бабью кофту и накинула на себя. Поменялась, значит. Накинула себе на голову и так прошла через избу мимо пьяниц, а те думали, что это лесникова дочка, и даже не взглянули. На ее счастье бабы в избе не было, за водкой пошла, а то бы, пожалуй, не миновать ей топора, потому бабий глаз видючий, как у кобца. У бабы глаз острый.;2
против течения;I;" Но -- надо отдать справедливость -- в ""Петербургских Ведомостях"" поднялся один голос против течения. Правда, голос не совсем-то громкий и смелый, но и за то уже великое спасибо! Там была напечатана маленькая статейка: ""Учиться, или не учиться?"" На нее последовал ответ: ""учиться, но как?"" где, конечно, осуждался профессор, ибо автор писал ""в защиту молодого поколения"". Затем в ""Современнике"" в защиту того же ""поколения"" появилась статья: ""Научились ли?"" мечущая перуны гнева и презрения в тупоумных пошляков и проч.";2
против течения;I; Димитрий понял, что против течения не поплывешь, и, молча, сидел в углу.;2
против течения;I;ервое место поставить личность, то непременно одна такая личность будет давить десятки других, более слабых, тогда как для всех должны быть равенство и общечеловеческая справедливость. У Аркадия была ненависть ко всему общепринятому, ко всему установившемуся: он постоянно кипел, горел и во всем шел против течения, как он говорил. Он вел аскетическую жизнь, делился последней копейкой с товарищем, ругался, когда тот обещал ему скоро отдать. Спал на голых досках. Но что он ненавидел самой острой ненавистью, так это религию, за то, что она заставляла человека смиренно примиряться со злом, вместо т;2
против течения;I;оей спиной и почти одновременно надели береты. Я ощутил себя прозрачным. Прозрачность тут же родила следующее ощущение - чистоты жизни. Холодной чистоты жизни, которая текла сквозь меня по чётко заявленному руслу. Прозрачная ледяная жизнь струилась во мне по своим делам, а вверх по течению словно бы пробиралась форель, блестя чешуёй, упрямо, целеустремлённо, с рыбьей застылой решимостью, она словно бы выпрыгивала, рвалась против основной жизненной воли. И я вдруг с содроганием ощутил в себе жестокое упрямство. И понял, что оно поведет меня сегодня против течения. И наверное, не только сегодня.;2
против течения;I;" Но -- надо отдать справедливость -- в ""Петербургских Ведомостях"" поднялся один голос против течения. Правда, голос не совсем-то громкий и смелый, но и за то уже великое спасибо! Там была напечатана маленькая статейка: ""Учиться, или не учиться?"" На нее последовал ответ: ""учиться, но как?"" где, конечно, осуждался профессор, ибо автор писал ""в защиту молодого поколения"". Затем в ""Современнике"" в защиту того же ""поколения"" появилась статья: ""Научились ли?"" мечущая перуны гнева и презрения в тупоумных пошляков и проч.";2
против течения;I; Хаос уколами невозможного пытается запутатьумертвитьпобедить и создаёт невнятное серое пространство, где возможно всё, хоть новое семейство крыс на рынке в Лаосе, и разум, если он сдаётся, - засыпает и плывёт в завихрениях общего сумасшествияхаоса, застревает в корягах и камнях, смердит. Чтобы выжить, разум должен быть осторожным и хитрым, оцениватьпредвосхищать провокации. Разум должен, как форель на нерест, идти против течения, брать пороги только перепрыгнув порог, можно выйти на следующий уровень понимания происходящего в мире. Ты должен этому научиться!;2
против течения;I;ас стихийно возникло производственное совещание, хочу напомнить вам, что мы находимся на судне, где установлены определенные правила поведения, которые не дано нарушать никому, независимо от ранга. Это в первую очередь относится к вам, Кичко. Доктор права, когда пишет рапорт об антисанитарном состоянии камбуза. Придется разобраться и наказать виновного. Командовать каждому желающему не позволено, особенно тем, кто плывет против течения. С сегодняшнего дня все претензии высказывайте на производственных совещаниях или докладывайте своему начальнику. А с форпиком палубная команда сама справится. ;2
против течения;I; -- Плыть по течению, -- перебила Веру Перовская. -- Мы учим плыть против течения.;2
против течения;I;ервое место поставить личность, то непременно одна такая личность будет давить десятки других, более слабых, тогда как для всех должны быть равенство и общечеловеческая справедливость. У Аркадия была ненависть ко всему общепринятому, ко всему установившемуся: он постоянно кипел, горел и во всем шел против течения, как он говорил. Он вел аскетическую жизнь, делился последней копейкой с товарищем, ругался, когда тот обещал ему скоро отдать. Спал на голых досках. Но что он ненавидел самой острой ненавистью, так это религию, за то, что она заставляла человека смиренно примиряться со злом, вместо т;2
против течения;I;"  ""B""-- Можно ли здесь итти  ""B""против течения ""B""? И я теперь с новой верой говорю себе, что  ""B""можно ""B""! Я делаю последнюю ставку. И я и ты, мы когда-то верили, что личность должна итти вразрез с массой, так как масса слепа и консервативна, несмотря ни на какую революционность. Для того, чтобы истина имела силу жизни, достаточно двух.";2
против течения;I;"  ""B""Общепринятыми, то есть победившими в Америке 1960-90-х годов, авторы считают эгалитарные (в нашей терминологии   ""B""уравнительские) принципы и идеалы. Видимо, на собственном опыте  ""B""они могли убедиться, как опасно было идти против течения в эти годы. Исследователи, пытавшиеся вслух заявить, что показатель интеллекта Ай-Кью ( ""B""IQ ""B"") что-то значит,  пишут они,  или, что интеллектуальные способности в значительной мере являются  ""B""врождёнными, и что их можно замерять в различных индивидуумах  ""B""и сравнивать между собой, расплачивались за это дорогой ценой. Их карьера, семейная жизнь,";2
против течения;I;ас стихийно возникло производственное совещание, хочу напомнить вам, что мы находимся на судне, где установлены определенные правила поведения, которые не дано нарушать никому, независимо от ранга. Это в первую очередь относится к вам, Кичко. Доктор права, когда пишет рапорт об антисанитарном состоянии камбуза. Придется разобраться и наказать виновного. Командовать каждому желающему не позволено, особенно тем, кто плывет против течения. С сегодняшнего дня все претензии высказывайте на производственных совещаниях или докладывайте своему начальнику. А с форпиком палубная команда сама справится. ;2
против течения;I;"  ""B""-- Можно ли здесь итти  ""B""против течения ""B""? И я теперь с новой верой говорю себе, что  ""B""можно ""B""! Я делаю последнюю ставку. И я и ты, мы когда-то верили, что личность должна итти вразрез с массой, так как масса слепа и консервативна, несмотря ни на какую революционность. Для того, чтобы истина имела силу жизни, достаточно двух.";2
против течения;I; -- Плыть по течению, -- перебила Веру Перовская. -- Мы учим плыть против течения.;2
